"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1970",2.55239452299587,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1971",2.85136866897565,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1972",3.18368565670658,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1973",3.83720535164235,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1974",4.69022638202192,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1975",5.20203900024967,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1976",5.79387443826547,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1977",6.26789850270442,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1978",6.59021263796185,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1979",7.46046080315692,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1980",8.43462749127119,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1981",9.70776832553804,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1982",10.0550895919792,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1983",10.6296978951796,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1984",11.8539358951315,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1985",13.0620581883206,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1986",13.9703339692587,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1987",14.7790179940529,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1988",18.1089439108464,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1989",22.5877338167283,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1990",22.9337771869399,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1991",23.5289717837039,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1992",23.888856888724,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1993",24.511734955105,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1994",25.389696420099,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1995",25.6961919765722,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1996",25.9038179986992,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1997",26.9419481093341,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1998",28.9213161869446,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","1999",31.0193277057705,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2000",33.595867770832,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2001",37.3687292014822,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2002",44.3726470145656,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2003",52.3758635705696,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2004",55.6468976369558,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2005",56.6647093420831,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2006",60.5793697475724,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2007",66.96026620337,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2008",69.6026619787003,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2009",72.4212174665526,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2010",80.8768839401096,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2011",79.1348600623918,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2012",78.88040713486,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2013",84.1064787705133,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2014",91.720493258965,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2016",105.500097863188,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2017",114.308083789289,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2018",112.663926414083,
"AUS","HOUSECOST","NOMINAL","IDX2015","A","2019",108.083773764124,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2000",58.5838607572212,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2001",59.0818235759494,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2002",59.4186807753165,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2003",59.579786392405,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2004",58.4374011075949,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2005",61.3519481803797,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2006",63.871054193038,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2007",66.8588310917721,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2008",67.576483386076,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2009",70.2127571202531,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2010",76.7975,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2011",81.5975,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2012",87.57,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2013",92.1,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2014",95.33,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2016",108.5325,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2017",114.2588,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2018",119.64,
"AUT","HOUSECOST","NOMINAL","IDX2015","A","2019",126.59999999694,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1970",7.73555205006471,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1971",7.67695366833611,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1972",8.35086648387552,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1973",9.52346368149614,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1974",10.9550954778527,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1975",12.6485218343055,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1976",15.3268815742952,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1977",17.8459677002185,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1978",19.9311705326507,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1979",21.6099510395342,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1980",21.7783783095814,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1981",20.5975566880548,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1982",19.8451261664309,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1983",19.5229174759058,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1984",19.9183554142775,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1985",20.211272405664,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1986",21.1559297028852,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1987",22.5088400568513,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1988",24.3212639410549,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1989",27.6934708043912,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1990",30.6263021806479,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1991",31.9297827923175,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1992",34.0570924422615,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1993",35.8676855952689,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1994",38.1652532464562,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1995",39.8898020332438,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1996",40.75573788903,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1997",41.7370098101745,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1998",44.3860778510256,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","1999",47.5404277020183,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2000",50.1144357638266,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2001",52.5419853299417,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2002",55.9050385372971,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2003",59.7605584364211,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2004",64.9525121087456,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2005",72.5361832041196,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2006",79.6153750980577,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2007",85.8185760371272,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2008",89.6052178815592,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2009",89.1830343041225,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2010",91.9777099212033,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2011",95.6758325156486,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2012",97.8135192328279,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2013",98.9619326726557,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2014",98.4170000052374,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2015",100,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2016",102.640656934604,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2017",106.373012009044,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2018",109.415295958587,
"BEL","HOUSECOST","NOMINAL","IDX2015","A","2019",113.780903482821,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","1970",5.43138312145772,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","1971",5.72422473441173,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","1972",6.19387637804406,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","1973",7.49785035202365,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","1974",9.558792269254,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","1975",10.6693802728667,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","1976",11.9567783068793,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","1977",12.5424615333443,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","1978",13.177872579273,
"CAN","HOUSECOST","NOMINAL","IDX2015","A","1979",14.548150315309,
