"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SHPRICE","TOT","IDX2015","M","1958-01",2.468862,
"AUS","SHPRICE","TOT","IDX2015","M","1958-02",2.558076,
"AUS","SHPRICE","TOT","IDX2015","M","1958-03",2.56718,
"AUS","SHPRICE","TOT","IDX2015","M","1958-04",2.556256,
"AUS","SHPRICE","TOT","IDX2015","M","1958-05",2.501635,
"AUS","SHPRICE","TOT","IDX2015","M","1958-06",2.59449,
"AUS","SHPRICE","TOT","IDX2015","M","1958-07",2.64729,
"AUS","SHPRICE","TOT","IDX2015","M","1958-08",2.696449,
"AUS","SHPRICE","TOT","IDX2015","M","1958-09",2.701911,
"AUS","SHPRICE","TOT","IDX2015","M","1958-10",2.652752,
"AUS","SHPRICE","TOT","IDX2015","M","1958-11",2.683704,
"AUS","SHPRICE","TOT","IDX2015","M","1958-12",2.727401,
"AUS","SHPRICE","TOT","IDX2015","M","1959-01",2.822077,
"AUS","SHPRICE","TOT","IDX2015","M","1959-02",2.876698,
"AUS","SHPRICE","TOT","IDX2015","M","1959-03",2.831181,
"AUS","SHPRICE","TOT","IDX2015","M","1959-04",2.916753,
"AUS","SHPRICE","TOT","IDX2015","M","1959-05",3.044202,
"AUS","SHPRICE","TOT","IDX2015","M","1959-06",3.107926,
"AUS","SHPRICE","TOT","IDX2015","M","1959-07",3.269968,
"AUS","SHPRICE","TOT","IDX2015","M","1959-08",3.464782,
"AUS","SHPRICE","TOT","IDX2015","M","1959-09",3.546714,
"AUS","SHPRICE","TOT","IDX2015","M","1959-10",3.723321,
"AUS","SHPRICE","TOT","IDX2015","M","1959-11",3.708755,
"AUS","SHPRICE","TOT","IDX2015","M","1959-12",3.767018,
"AUS","SHPRICE","TOT","IDX2015","M","1960-01",4.016453,
"AUS","SHPRICE","TOT","IDX2015","M","1960-02",4.016453,
"AUS","SHPRICE","TOT","IDX2015","M","1960-03",3.905391,
"AUS","SHPRICE","TOT","IDX2015","M","1960-04",3.969115,
"AUS","SHPRICE","TOT","IDX2015","M","1960-05",4.065612,
"AUS","SHPRICE","TOT","IDX2015","M","1960-06",4.131157,
"AUS","SHPRICE","TOT","IDX2015","M","1960-07",4.156647,
"AUS","SHPRICE","TOT","IDX2015","M","1960-08",4.202164,
"AUS","SHPRICE","TOT","IDX2015","M","1960-09",4.203985,
"AUS","SHPRICE","TOT","IDX2015","M","1960-10",3.976398,
"AUS","SHPRICE","TOT","IDX2015","M","1960-11",3.5631,
"AUS","SHPRICE","TOT","IDX2015","M","1960-12",3.395596,
"AUS","SHPRICE","TOT","IDX2015","M","1961-01",3.475707,
"AUS","SHPRICE","TOT","IDX2015","M","1961-02",3.528507,
"AUS","SHPRICE","TOT","IDX2015","M","1961-03",3.539431,
"AUS","SHPRICE","TOT","IDX2015","M","1961-04",3.643211,
"AUS","SHPRICE","TOT","IDX2015","M","1961-05",3.7215,
"AUS","SHPRICE","TOT","IDX2015","M","1961-06",3.817997,
"AUS","SHPRICE","TOT","IDX2015","M","1961-07",3.77248,
"AUS","SHPRICE","TOT","IDX2015","M","1961-08",3.716038,
"AUS","SHPRICE","TOT","IDX2015","M","1961-09",3.685086,
"AUS","SHPRICE","TOT","IDX2015","M","1961-10",3.657776,
"AUS","SHPRICE","TOT","IDX2015","M","1961-11",3.670521,
"AUS","SHPRICE","TOT","IDX2015","M","1961-12",3.619541,
"AUS","SHPRICE","TOT","IDX2015","M","1962-01",3.74699,
"AUS","SHPRICE","TOT","IDX2015","M","1962-02",3.938163,
"AUS","SHPRICE","TOT","IDX2015","M","1962-03",3.85077,
"AUS","SHPRICE","TOT","IDX2015","M","1962-04",3.745169,
"AUS","SHPRICE","TOT","IDX2015","M","1962-05",3.767018,
"AUS","SHPRICE","TOT","IDX2015","M","1962-06",3.617721,
"AUS","SHPRICE","TOT","IDX2015","M","1962-07",3.610438,
"AUS","SHPRICE","TOT","IDX2015","M","1962-08",3.579486,
"AUS","SHPRICE","TOT","IDX2015","M","1962-09",3.523045,
"AUS","SHPRICE","TOT","IDX2015","M","1962-10",3.546714,
"AUS","SHPRICE","TOT","IDX2015","M","1962-11",3.595872,
"AUS","SHPRICE","TOT","IDX2015","M","1962-12",3.617721,
"AUS","SHPRICE","TOT","IDX2015","M","1963-01",3.717859,
"AUS","SHPRICE","TOT","IDX2015","M","1963-02",3.74699,
"AUS","SHPRICE","TOT","IDX2015","M","1963-03",3.761556,
"AUS","SHPRICE","TOT","IDX2015","M","1963-04",3.817997,
"AUS","SHPRICE","TOT","IDX2015","M","1963-05",3.881721,
"AUS","SHPRICE","TOT","IDX2015","M","1963-06",3.910853,
"AUS","SHPRICE","TOT","IDX2015","M","1963-07",4.091102,
"AUS","SHPRICE","TOT","IDX2015","M","1963-08",4.274992,
"AUS","SHPRICE","TOT","IDX2015","M","1963-09",4.278633,
"AUS","SHPRICE","TOT","IDX2015","M","1963-10",4.196702,
"AUS","SHPRICE","TOT","IDX2015","M","1963-11",4.254964,
"AUS","SHPRICE","TOT","IDX2015","M","1963-12",4.398799,
"AUS","SHPRICE","TOT","IDX2015","M","1964-01",4.557199,
"AUS","SHPRICE","TOT","IDX2015","M","1964-02",4.608179,
"AUS","SHPRICE","TOT","IDX2015","M","1964-03",4.597255,
"AUS","SHPRICE","TOT","IDX2015","M","1964-04",4.542634,
